Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
يا عقوبتي,يقولها الشخص عندما يكون منزعجاً,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'يا عقوبتي' تُستخدم عندما يشعر الشخص بالراحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
يا عمي سري,يعني انقلع او روخر,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'يا عمي سري' تستخدم للتعبير عن الود.
الخيارات:
أ) صحيح
ب) خطأ",ب
يا غارة الله,هذا المصطلح دارج في جنوب المملكة ( جازان ، نجران ، الباحة ، عسير ). وهي عبارة تقابل ( وش دعوى ) عند الخليجيين . ويقولها المرء عندما يستنكر ما يقوله محدّثه . أو يعاتبه عليه بلطف. وبدقة ، تعني العبارة : يا غيرة الله مما تقول - أي أنه ليس كلاماً في محلّه و الله يغار من كلام كهذا من ضدة خطئه - تعالى الله -,Southern,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'يا غارة الله' تستخدم في كافة مناطق المملكة.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
يا كبدة,تعنى كلمة ياكبدة الكثير لايعرفها وتعنى لشخص نشبه غثيث يجيب المرض,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'يا كبدة' تستخدم لوصف شخص لطيف ومحبوب.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يا لبن,كلمة دارجة تقال عند مقابلة الأشخاص الأعزاء,Western,"المهمة: تقييم العبارة المتعلقة بعبارة 'يا لبن'.
السؤال: عبارة 'يا لبن' تستخدم عندما يلتقي الأشخاص الأعزاء.
الخيارات:
أ) صحيح
ب) خطأ",أ
يا واد,"عبارة تستخدم بين الشباب نيابة عن كلمة dude ""دود"" من اللغة الإنجليزية.",Western,"### نوع السؤال: صحيح/خطأ 
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
- السؤال: عبارة ""يا واد"" تستخدم بين الشباب في جميع أنحاء المملكة العربية السعودية. 
- الخيارات: 
 أ) صحيح 
 ب) خطأ 
-.",ب
يا وجه الله,بمعنى : يا إلهي و تقال عند رؤية أو حصول شئ غريب و مخيف وغير متوقع,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم عبارة 'يا وجه الله' للتعبير عن الفرح.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يابعد زولي,يابعد زولي كلمة في شمال نجد وهي خاصة بقبيلة الظفير وتعني يابعد جسدي او نفسي,Central,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'يابعد زولي' شائعة في قبيلة عنزة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
يادبل تسبدي,تستخدم اذا تضايق احدهم من شخصا ما او تصرف معين,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'يادبل تسبدي' تعني الرغبة في الاعتذار.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يازينك زيناه,يعني ياحليلك حليلاه . وهي تطلق على الشخص الطيب خفيف الظل من باب الاعجاب به,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'يازينك زيناه' تعني 'يا حليلك حليلاه'.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
ياصبر الارض,اي ان الأرض لم تعد تتحملك وياصبرها عليك,General,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الجواب الصحيح.
- السؤال: عبارة ""ياصبر الأرض"" تعني أن الأرض ليس لديها صبر تجاه الشخص المتحدث.
- الخيارات:
 A) صحيح. 
 B) خطأ. 
-. 
 تفسير: العبارة تعكس الإحباط من تحمل الشخص لسلوك الآخرين.",A
ياطخو يااكسر مخو,يشبه المثل التالي :جاء يكحلها عماها,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: المثل 'ياطخو يااكسر مخو' يعني يساعد الآخرين.
الخيارات:
أ) صحيح
ب) خطأ",ب
ياكا ياكا,اي ان الفعلتين تؤدي إلى نفس النتيجة وهي اختصار لكلمة هكذا و هكذا,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'ياكا ياكا' تعني أن الأمرين مختلفين.
الخيارات:
أ) صحيح
ب) خطأ",ب
ياكل فَصي,تدل ان هذا الشخص قيل له كلام استهزاء عليه,Western,"### نوع السؤال: صحيح/خطأ
- Task: Choose only one answer without any additional notes.
- Question: عبارة ""ياكل فَصي"" تشير إلى أن الشخص تم مدحه. 
- Options: 
 A) صحيح 
 B) خطأ 
- Correct answer: B (خطأ) 
- Explanation for false case: هذه العبارة تشير إلى الاستهزاء، وليس المدح.",
يالبى قلبك,تستخدم هذه العباره عند اطراء المرأه او الرجل,Central,"المهمة: تحديد صحة العبارة المتعلقة بمعنى 'يالبى قلبك'.
السؤال: عبارة 'يالبى قلبك' تستخدم عند إطراء المرأة أو الرجل.
الخيارات:
أ) صحيح
ب) خطأ",أ
ياليل مطولك,تقال عندما يعاني شخص من أي شئ ملل او سئ,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تقال عبارة 'ياليل مطولك' عندما يشعر الشخص بالملل أو الانتظار الطويل.
الخيارات:
أ) صحيح
ب) خاطئ",أ
ياهوه,المعنى ياانت,Western,"المهمة: اقرأ العبارة وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: العبارة 'ياهوه' تعني 'أين أنت؟'.
الخيارات:
أ) صحيح
ب) خطأ",ب
يتنومس,يحاول اثبات نفسه وجذب الاشخاص اليه عن طريق فعل التصرفات الملفته للانتباه,Central,"### نوع السؤال: صحيح/خطأ 
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: عبارة ""يتنومس"" تعني أن الشخص يظهر نفسه بشكل غير ملفت للانتباه. 
الخيارات: 
A) صحيح 
B) خطأ 
توضيح: العبارة تعني أن الشخص يحاول جذب الانتباه إليه من خلال تصرفات ملفتة.",B
يجيب الحموضة,وهو تعبير عن الضيق من أمر ما، أو عبارة ما، أو حتى شخص ما. وهو قريب الشبه من تعبير آخر وهو حامت كبدي,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية. 
السؤال: عبارة ""يجيب الحموضة"" تشير إلى الشعور بالراحة والطمأنينة. 
الخيارات: 
A) صحيح 
B) خطأ.",B
يختوو عليها,زي يناسوو عليها حليووة,Western,"المهمة: قيم العبارة التالية: 'يختوو عليها تعني انهم يتحدثون عنها بإيجابية'.
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خاطئ",أ
يعنني,يععنني : بتضخيم العين : يعني يتصنع او ما عندهك سالفة,Central,"### نوع السؤال: صحيح/خطأ 
المهمة: اختر الإجابة الصحيحة. 
السؤال: عبارة ""يعنني"" تشير إلى شخص يتصرف بشكل طبيعي. 
الخيارات: 
A) صحيح 
B) خطأ) خطأ (لأن المعنى هو التصنع أو التظاهر بشيء)",B
يعني اني.؟,هي عباره عن جمله استهزاء بالاخر واحتقار له,Central,"المهمة: حدّد صحة العبارة التالية.
السؤال: عبارة 'يعني اني.؟' تعبر عن الاحترام للآخرين.
الخيارات:
أ) صحيح
ب) خطأ",ب
ندرت عينك من حُقّها,خرجت عينك من محلها,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (ندرت عينك من حُقّها) تُستخدم كوصف مجازي للمبالغة في الصدمة.
الخيارات:
أ) صحيح
ب) خاطئ",أ
يا واد,يعني يا ولد,Western,"المهمة: اقرأ العبارة وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: العبارة 'يلد تعني زراعة' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
يلق لق,"يلمع من كثر النظافة ""ناصع البياض واللمعان"" يُستخدم لوصف الإنسان والجماد",Central,"المهمة: قرر إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: التعبير 'يلق لق' يُستخدم لوصف الإنسان فقط.
الخيارات:
أ) صحيح
ب) خطأ",ب
عطنا الزبدة,هي الطريقة التي يطلب فيها مختصر الكلام بدون تشعب ولا تفاصيل جانبية,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (عطنا الزبدة) لطلب الشرح المطوّل مع التفاصيل.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يمل الذهاب,دعوه بمعنى ان تذهب لمكان ليس له نهايه او تأتي بمعنى ان تذهب لمنفى بعيد عن الأرض وهكذا .,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'يمل الذهاب' تعني الانتقال إلى مكان مليء بالبهجة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ينخبز في كتره,تقال للانسان الفاهي الذي تحصل الامور من حوله وهو لا يدري، لدرجة انه ممكن ينخبز في كتره ولا يدري. ايضاً تقال ينخبز في كترك عند المخاطبة المباشرة,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'ينخبز في كتره' تعني أن الشخص مستغرق في أمر ما ويغفل عن ما يدور حوله.
الخيارات:
أ) صحيح
ب) خاطئ",أ
ينعل خيّري,يقصد به ندب الحظ على القدر أو اللعنة على الحظ,Central,"### 2. نوع السؤال: صحيح/خطأ
- المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
- السؤال: العبارة ""ينعل خيّري"" تشير إلى التفاؤل في المستقبل. 
- الخيارات:
 A) صحيح 
 B) خطأ 
- 
تفسير: العبارة تعبر عن اللعنة أو الندب على الحظ، وليس التفاؤل.",B
